answer,question
Genetic drift,Genetic drift is a random effect on biological populations. Its effect is to remove genetic variation from a population of living organisms.
Fungus,"A fungus (plural: fungi) is a kind of living organism: yeasts, moulds and mushrooms are types of fungi. The fungi are a separate kingdom of living things, different from animals and plants."
Venus,"Venus is the second planet from the Sun. It is a terrestrial planet because it has a solid, rocky surface like other planets in the inner solar system. Astronomers have known Venus for thousands of years. The ancient Romans named it after their goddess Venus. Venus is the brightest thing in the night sky except for the Moon. It is sometimes called the morning star or the evening star as it is brightest just before the sun comes up in the morning, and just after the sun goes down in the evening. Venus comes closer to the Earth than any other planet does."
Seafloor spreading,"Seafloor spreading happens at the bottom of an ocean as tectonic plates move apart. The seafloor moves and carries continents with it. At ridges in the middle of oceans, new oceanic crust is created. "
Magnetic field,"The magnetic field is the area around a magnet in which there is magnetic force. Moving electric charges can make magnetic fields. Magnetic fields can usually be seen by magnetic flux lines. At all times the direction of the magnetic field is shown by the direction of the magnetic flux lines. The strength of a magnet has to do with the spaces between the magnetic flux lines. The closer the flux lines are to each other, the stronger the magnet is. The farther away they are, the weaker. The flux lines can be seen by placing iron filings over a magnet. The iron filings move and arrange into the lines. Magnetic fields give power to other particles that are touching the magnetic field."
2 (number),"2 (Two; ) is a number, numeral, and glyph.  It is the number after 1 and the number before 3. In Roman numerals, it is II."
DNA,"DNA, short for deoxyribonucleic acid, is the molecule that contains the genetic code of organisms. This includes animals, plants, protists, archaea and bacteria."
Ammonia,Ammonia is a chemical. Its formula is NH3 (not to be confused with Ammonium that has a formula of NH4+). It is made from nitrogen and hydrogen atoms.
Black hole,"A black hole is a region of space from which nothing, including light, can escape. According to the general theory of relativity, it is the result of the curving of spacetime caused by a very dense mass."
Dune,"In physical geography, a dune is a hill of sand built by eolian processes. Dunes have different forms and sizes based on their interaction with the wind. A ""dune field"" is an area covered by many sand dunes."
Triangle,":For other meanings, such as the musical instrument that is also called a ""triangle"", see triangle (disambiguation)."
